Vcontrol	freq
0.50	1.0056987460
0.50	1.0057099839
0.50	1.0057212138
0.50	1.0057324354
0.51	1.0057436489
0.51	1.0057548541
0.51	1.0057660509
0.51	1.0057772394
0.51	1.0057884194
0.51	1.0057995910
0.51	1.0058107540
0.51	1.0058219084
0.51	1.0058330541
0.51	1.0058441912
0.52	1.0058553195
0.52	1.0058664389
0.52	1.0058775495
0.52	1.0058886512
0.52	1.0058997439
0.52	1.0059108275
0.52	1.0059219021
0.52	1.0059329675
0.52	1.0059440237
0.52	1.0059550706
0.53	1.0059661082
0.53	1.0059771364
0.53	1.0059881553
0.53	1.0059991646
0.53	1.0060101644
0.53	1.0060211546
0.53	1.0060321351
0.53	1.0060431059
0.53	1.0060540670
0.53	1.0060650183
0.54	1.0060759596
0.54	1.0060868911
0.54	1.0060978125
0.54	1.0061087239
0.54	1.0061196252
0.54	1.0061305163
0.54	1.0061413972
0.54	1.0061522679
0.54	1.0061631282
0.54	1.0061739781
0.55	1.0061848176
0.55	1.0061956465
0.55	1.0062064650
0.55	1.0062172727
0.55	1.0062280699
0.55	1.0062388563
0.55	1.0062496318
0.55	1.0062603966
0.55	1.0062711504
0.55	1.0062818933
0.56	1.0062926252
0.56	1.0063033460
0.56	1.0063140556
0.56	1.0063247540
0.56	1.0063354412
0.56	1.0063461171
0.56	1.0063567816
0.56	1.0063674347
0.56	1.0063780763
0.56	1.0063887064
0.57	1.0063993248
0.57	1.0064099316
0.57	1.0064205267
0.57	1.0064311100
0.57	1.0064416814
0.57	1.0064522410
0.57	1.0064627886
0.57	1.0064733241
0.57	1.0064838477
0.57	1.0064943590
0.58	1.0065048582
0.58	1.0065153451
0.58	1.0065258197
0.58	1.0065362820
0.58	1.0065467318
0.58	1.0065571691
0.58	1.0065675939
0.58	1.0065780061
0.58	1.0065884055
0.58	1.0065987923
0.59	1.0066091663
0.59	1.0066195274
0.59	1.0066298756
0.59	1.0066402108
0.59	1.0066505331
0.59	1.0066608422
0.59	1.0066711381
0.59	1.0066814209
0.59	1.0066916904
0.59	1.0067019465
0.60	1.0067121893
0.60	1.0067224186
0.60	1.0067326344
0.60	1.0067428366
0.60	1.0067530251
0.60	1.0067632000
0.60	1.0067733611
0.60	1.0067835084
0.60	1.0067936418
0.60	1.0068037613
0.61	1.0068138667
0.61	1.0068239581
0.61	1.0068340354
0.61	1.0068440984
0.61	1.0068541473
0.61	1.0068641818
0.61	1.0068742019
0.61	1.0068842076
0.61	1.0068941988
0.61	1.0069041754
0.62	1.0069141374
0.62	1.0069240847
0.62	1.0069340173
0.62	1.0069439351
0.62	1.0069538380
0.62	1.0069637259
0.62	1.0069735989
0.62	1.0069834568
0.62	1.0069932995
0.62	1.0070031271
0.63	1.0070129395
0.63	1.0070227365
0.63	1.0070325181
0.63	1.0070422843
0.63	1.0070520350
0.63	1.0070617702
0.63	1.0070714897
0.63	1.0070811935
0.63	1.0070908816
0.63	1.0071005538
0.64	1.0071102102
0.64	1.0071198506
0.64	1.0071294750
0.64	1.0071390833
0.64	1.0071486755
0.64	1.0071582515
0.64	1.0071678112
0.64	1.0071773546
0.64	1.0071868817
0.64	1.0071963922
0.65	1.0072058862
0.65	1.0072153637
0.65	1.0072248244
0.65	1.0072342685
0.65	1.0072436958
0.65	1.0072531063
0.65	1.0072624998
0.65	1.0072718763
0.65	1.0072812359
0.65	1.0072905783
0.66	1.0072999035
0.66	1.0073092115
0.66	1.0073185022
0.66	1.0073277756
0.66	1.0073370315
0.66	1.0073462699
0.66	1.0073554908
0.66	1.0073646940
0.66	1.0073738795
0.66	1.0073830473
0.67	1.0073921973
0.67	1.0074013293
0.67	1.0074104434
0.67	1.0074195395
0.67	1.0074286175
0.67	1.0074376774
0.67	1.0074467190
0.67	1.0074557423
0.67	1.0074647473
0.67	1.0074737339
0.68	1.0074827020
0.68	1.0074916515
0.68	1.0075005824
0.68	1.0075094946
0.68	1.0075183881
0.68	1.0075272627
0.68	1.0075361185
0.68	1.0075449553
0.68	1.0075537731
0.68	1.0075625718
0.69	1.0075713513
0.69	1.0075801116
0.69	1.0075888527
0.69	1.0075975744
0.69	1.0076062766
0.69	1.0076149594
0.69	1.0076236226
0.69	1.0076322661
0.69	1.0076408900
0.69	1.0076494941
0.70	1.0076580784
0.70	1.0076666428
0.70	1.0076751872
0.70	1.0076837116
0.70	1.0076922159
0.70	1.0077007000
0.70	1.0077091639
0.70	1.0077176074
0.70	1.0077260306
0.70	1.0077344333
0.71	1.0077428156
0.71	1.0077511772
0.71	1.0077595182
0.71	1.0077678385
0.71	1.0077761379
0.71	1.0077844166
0.71	1.0077926743
0.71	1.0078009110
0.71	1.0078091266
0.71	1.0078173211
0.72	1.0078254944
0.72	1.0078336464
0.72	1.0078417771
0.72	1.0078498863
0.72	1.0078579741
0.72	1.0078660403
0.72	1.0078740849
0.72	1.0078821078
0.72	1.0078901090
0.72	1.0078980883
0.73	1.0079060457
0.73	1.0079139811
0.73	1.0079218945
0.73	1.0079297858
0.73	1.0079376549
0.73	1.0079455018
0.73	1.0079533263
0.73	1.0079611284
0.73	1.0079689081
0.73	1.0079766652
0.74	1.0079843997
0.74	1.0079921116
0.74	1.0079998007
0.74	1.0080074669
0.74	1.0080151103
0.74	1.0080227307
0.74	1.0080303281
0.74	1.0080379024
0.74	1.0080454535
0.74	1.0080529813
0.75	1.0080604859
0.75	1.0080679670
0.75	1.0080754247
0.75	1.0080828588
0.75	1.0080902694
0.75	1.0080976563
0.75	1.0081050194
0.75	1.0081123587
0.75	1.0081196741
0.75	1.0081269655
0.76	1.0081342329
0.76	1.0081414762
0.76	1.0081486953
0.76	1.0081558901
0.76	1.0081630606
0.76	1.0081702067
0.76	1.0081773284
0.76	1.0081844255
0.76	1.0081914979
0.76	1.0081985457
0.77	1.0082055687
0.77	1.0082125669
0.77	1.0082195402
0.77	1.0082264885
0.77	1.0082334117
0.77	1.0082403098
0.77	1.0082471827
0.77	1.0082540303
0.77	1.0082608525
0.77	1.0082676494
0.78	1.0082744207
0.78	1.0082811665
0.78	1.0082878866
0.78	1.0082945810
0.78	1.0083012496
0.78	1.0083078923
0.78	1.0083145091
0.78	1.0083210999
0.78	1.0083276646
0.78	1.0083342031
0.79	1.0083407154
0.79	1.0083472013
0.79	1.0083536609
0.79	1.0083600940
0.79	1.0083665006
0.79	1.0083728806
0.79	1.0083792338
0.79	1.0083855604
0.79	1.0083918600
0.79	1.0083981328
0.80	1.0084043786
0.80	1.0084105973
0.80	1.0084167889
0.80	1.0084229532
0.80	1.0084290903
0.80	1.0084352000
0.80	1.0084412823
0.80	1.0084473370
0.80	1.0084533642
0.80	1.0084593637
0.81	1.0084653354
0.81	1.0084712794
0.81	1.0084771954
0.81	1.0084830835
0.81	1.0084889435
0.81	1.0084947754
0.81	1.0085005791
0.81	1.0085063545
0.81	1.0085121016
0.81	1.0085178202
0.82	1.0085235103
0.82	1.0085291719
0.82	1.0085348048
0.82	1.0085404089
0.82	1.0085459843
0.82	1.0085515307
0.82	1.0085570482
0.82	1.0085625367
0.82	1.0085679960
0.82	1.0085734261
0.83	1.0085788270
0.83	1.0085841985
0.83	1.0085895405
0.83	1.0085948531
0.83	1.0086001361
0.83	1.0086053894
0.83	1.0086106129
0.83	1.0086158067
0.83	1.0086209706
0.83	1.0086261044
0.84	1.0086312083
0.84	1.0086362820
0.84	1.0086413255
0.84	1.0086463387
0.84	1.0086513215
0.84	1.0086562739
0.84	1.0086611958
0.84	1.0086660871
0.84	1.0086709477
0.84	1.0086757775
0.85	1.0086805765
0.85	1.0086853446
0.85	1.0086900817
0.85	1.0086947877
0.85	1.0086994626
0.85	1.0087041063
0.85	1.0087087186
0.85	1.0087132995
0.85	1.0087178490
0.85	1.0087223669
0.86	1.0087268532
0.86	1.0087313078
0.86	1.0087357306
0.86	1.0087401216
0.86	1.0087444806
0.86	1.0087488075
0.86	1.0087531024
0.86	1.0087573651
0.86	1.0087615955
0.86	1.0087657935
0.87	1.0087699592
0.87	1.0087740923
0.87	1.0087781929
0.87	1.0087822607
0.87	1.0087862959
0.87	1.0087902982
0.87	1.0087942676
0.87	1.0087982040
0.87	1.0088021073
0.87	1.0088059775
0.88	1.0088098145
0.88	1.0088136181
0.88	1.0088173883
0.88	1.0088211251
0.88	1.0088248283
0.88	1.0088284979
0.88	1.0088321338
0.88	1.0088357358
0.88	1.0088393040
0.88	1.0088428382
0.89	1.0088463384
0.89	1.0088498045
0.89	1.0088532363
0.89	1.0088566339
0.89	1.0088599970
0.89	1.0088633258
0.89	1.0088666200
0.89	1.0088698795
0.89	1.0088731044
0.89	1.0088762945
0.90	1.0088794497
0.90	1.0088825700
0.90	1.0088856553
0.90	1.0088887054
0.90	1.0088917203
0.90	1.0088947000
0.90	1.0088976443
0.90	1.0089005532
0.90	1.0089034265
0.90	1.0089062642
0.91	1.0089090663
0.91	1.0089118325
0.91	1.0089145629
0.91	1.0089172574
0.91	1.0089199158
0.91	1.0089225382
0.91	1.0089251243
0.91	1.0089276742
0.91	1.0089301877
0.91	1.0089326647
0.92	1.0089351053
0.92	1.0089375092
0.92	1.0089398764
0.92	1.0089422069
0.92	1.0089445005
0.92	1.0089467571
0.92	1.0089489767
0.92	1.0089511592
0.92	1.0089533045
0.92	1.0089554126
0.93	1.0089574832
0.93	1.0089595164
0.93	1.0089615121
0.93	1.0089634701
0.93	1.0089653904
0.93	1.0089672730
0.93	1.0089691176
0.93	1.0089709243
0.93	1.0089726930
0.93	1.0089744235
0.94	1.0089761158
0.94	1.0089777698
0.94	1.0089793854
0.94	1.0089809626
0.94	1.0089825012
0.94	1.0089840011
0.94	1.0089854623
0.94	1.0089868847
0.94	1.0089882682
0.94	1.0089896127
0.95	1.0089909182
0.95	1.0089921845
0.95	1.0089934115
0.95	1.0089945992
0.95	1.0089957475
0.95	1.0089968563
0.95	1.0089979254
0.95	1.0089989550
0.95	1.0089999447
0.95	1.0090008946
0.96	1.0090018046
0.96	1.0090026745
0.96	1.0090035043
0.96	1.0090042940
0.96	1.0090050433
0.96	1.0090057523
0.96	1.0090064208
0.96	1.0090070488
0.96	1.0090076362
0.96	1.0090081828
0.97	1.0090086886
0.97	1.0090091536
0.97	1.0090095775
0.97	1.0090099604
0.97	1.0090103021
0.97	1.0090106026
0.97	1.0090108617
0.97	1.0090110794
0.97	1.0090112557
0.97	1.0090113903
0.98	1.0090114832
0.98	1.0090115344
0.98	1.0090115437
0.98	1.0090115110
0.98	1.0090114363
0.98	1.0090113195
0.98	1.0090111605
0.98	1.0090109592
0.98	1.0090107154
0.98	1.0090104292
0.99	1.0090101005
0.99	1.0090097290
0.99	1.0090093149
0.99	1.0090088579
0.99	1.0090083579
0.99	1.0090078150
0.99	1.0090072289
0.99	1.0090065997
0.99	1.0090059271
0.99	1.0090052112
1.00	1.0090044519
1.00	1.0090036490
1.00	1.0090028024
1.00	1.0090019121
1.00	1.0090009780
1.00	1.0090000000
1.00	1.0089989780
1.00	1.0089979119
1.00	1.0089968016
1.00	1.0089956470
1.01	1.0089944481
1.01	1.0089932048
1.01	1.0089919168
1.01	1.0089905843
1.01	1.0089892070
1.01	1.0089877850
1.01	1.0089863180
1.01	1.0089848060
1.01	1.0089832490
1.01	1.0089816467
1.02	1.0089799992
1.02	1.0089783064
1.02	1.0089765681
1.02	1.0089747842
1.02	1.0089729547
1.02	1.0089710795
1.02	1.0089691585
1.02	1.0089671916
1.02	1.0089651787
1.02	1.0089631196
1.03	1.0089610145
